"package","installed","locked","matches"
"bslib","0.10.0","0.10.0",TRUE
"digest","0.6.39","0.6.39",TRUE
"dqrng","0.4.1","0.4.1",TRUE
"foreach","1.5.2","1.5.2",TRUE
"httr2","1.2.2","1.2.2",TRUE
"jpeg","0.1.11","0.1-11",TRUE
"jsonlite","2.0.0","2.0.0",TRUE
"MBESS","4.9.42","4.9.42",TRUE
"officer","0.7.3","0.7.3",TRUE
"openxlsx","4.2.8.1","4.2.8.1",TRUE
"pdftools","3.9.0","3.9.0",TRUE
"png","0.1.9","0.1-9",TRUE
"Rfast","2.1.5.2","2.1.5.2",TRUE
"rhandsontable","0.3.8","0.3.8",TRUE
"rvg","0.4.1","0.4.1",TRUE
"shiny","1.13.0","1.13.0",TRUE
"shinydashboard","0.7.3","0.7.3",TRUE
"shinyjs","2.1.1","2.1.1",TRUE
"shinyWidgets","0.9.1","0.9.1",TRUE
"tesseract","5.2.5","5.2.5",TRUE
"xml2","1.5.2","1.5.2",TRUE
"zip","2.3.3","2.3.3",TRUE
"plumber","1.3.3","1.3.3",TRUE
"base64enc","0.1.6","0.1-6",TRUE
"cachem","1.1.0","1.1.0",TRUE
"fastmap","1.2.0","1.2.0",TRUE
"htmltools","0.5.9","0.5.9",TRUE
"jquerylib","0.1.4","0.1.4",TRUE
"lifecycle","1.0.5","1.0.5",TRUE
"memoise","2.0.1","2.0.1",TRUE
"mime","0.13","0.13",TRUE
"rlang","1.3.0","1.3.0",TRUE
"sass","0.4.10","0.4.10",TRUE
"Rcpp","1.1.2","1.1.2",TRUE
"BH","1.90.0.1","1.90.0-1",TRUE
"sitmo","2.0.2","2.0.2",TRUE
"codetools","0.2.20","0.2-20",TRUE
"iterators","1.0.14","1.0.14",TRUE
"cli","3.6.6","3.6.6",TRUE
"curl","8.0.0","8.0.0",TRUE
"glue","1.8.1","1.8.1",TRUE
"magrittr","2.0.5","2.0.5",TRUE
"openssl","2.4.2","2.4.2",TRUE
"R6","2.6.1","2.6.1",TRUE
"rappdirs","0.3.4","0.3.4",TRUE
"vctrs","0.7.2","0.7.2",TRUE
"withr","3.0.3","3.0.3",TRUE
"boot","1.3.32","1.3-32",TRUE
"lavaan","0.6.21","0.6-21",TRUE
"MASS","7.3.65","7.3-65",TRUE
"mnormt","2.1.2","2.1.2",TRUE
"nlme","3.1.168","3.1-168",TRUE
"OpenMx","2.22.11","2.22.11",TRUE
"sem","3.1.16","3.1-16",TRUE
"semTools","0.5.8","0.5-8",TRUE
"dplyr","1.2.0","1.2.0",TRUE
"ragg","1.5.2","1.5.2",TRUE
"tidyr","1.3.2","1.3.2",TRUE
"uuid","1.2.2","1.2-2",TRUE
"stringi","1.8.9","1.8.9",TRUE
"qpdf","1.4.1","1.4.1",TRUE
"zigg","0.0.2","0.0.2",TRUE
"RcppParallel","5.1.11.2","5.1.11-2",TRUE
"RcppArmadillo","15.2.4.1","15.2.4-1",TRUE
"htmlwidgets","1.6.4","1.6.4",TRUE
"gdtools","0.5.0","0.5.0",TRUE
"systemfonts","1.3.2","1.3.2",TRUE
"commonmark","2.0.0","2.0.0",TRUE
"fontawesome","0.5.3","0.5.3",TRUE
"httpuv","1.6.17","1.6.17",TRUE
"later","1.4.8","1.4.8",TRUE
"otel","0.2.0","0.2.0",TRUE
"promises","1.5.0","1.5.0",TRUE
"sourcetools","0.1.7.2","0.1.7-2",TRUE
"xtable","1.8.8","1.8-8",TRUE
"fs","2.1.0","2.1.0",TRUE
"evaluate","1.0.5","1.0.5",TRUE
"crayon","1.5.3","1.5.3",TRUE
"sodium","1.4.0","1.4.0",TRUE
"swagger","5.32.1","5.32.1",TRUE
"webutils","1.2.3","1.2.3",TRUE
"askpass","1.2.1","1.2.1",TRUE
"pbivnorm","0.6.0","0.6.0",TRUE
"numDeriv","2016.8.1.1","2016.8-1.1",TRUE
"quadprog","1.5.8","1.5-8",TRUE
"lattice","0.22.9","0.22-9",TRUE
"Matrix","1.7.4","1.7-4",TRUE
"RcppEigen","0.3.4.0.2","0.3.4.0.2",TRUE
"StanHeaders","2.32.10","2.32.10",TRUE
"rpf","1.0.15","1.0.15",TRUE
"mi","1.2","1.2",TRUE
"generics","0.1.4","0.1.4",TRUE
"pillar","1.11.1","1.11.1",TRUE
"tibble","3.3.1","3.3.1",TRUE
"tidyselect","1.2.1","1.2.1",TRUE
"textshaping","1.0.5","1.0.5",TRUE
"purrr","1.2.1","1.2.1",TRUE
"stringr","1.6.0","1.6.0",TRUE
"cpp11","0.5.5","0.5.5",TRUE
"knitr","1.51","1.51",TRUE
"rmarkdown","2.31","2.31",TRUE
"yaml","2.3.12","2.3.12",TRUE
"fontquiver","0.2.1","0.2.1",TRUE
"sys","3.4.3","3.4.3",TRUE
"mvtnorm","1.3.6","1.3-6",TRUE
"arm","1.15.2","1.15-2",TRUE
"utf8","1.2.6","1.2.6",TRUE
"pkgconfig","2.0.3","2.0.3",TRUE
"highr","0.12","0.12",TRUE
"xfun","0.60","0.60",TRUE
"tinytex","0.60","0.60",TRUE
"fontBitstreamVera","0.1.1","0.1.1",TRUE
"fontLiberation","0.1.0","0.1.0",TRUE
"abind","1.4.8","1.4-8",TRUE
"coda","0.19.4.1","0.19-4.1",TRUE
"lme4","2.0.1","2.0-1",TRUE
"Rdpack","2.6.6","2.6.6",TRUE
"minqa","1.2.8","1.2.8",TRUE
"nloptr","2.2.1","2.2.1",TRUE
"reformulas","0.4.4","0.4.4",TRUE
"rbibutils","2.4.1","2.4.1",TRUE
